# Time-averaged data for fix 4
# TimeStep c_3[1] c_3[2] c_3[3] c_3[4]
1050 -0.501026 -0.0795623 -0.0681124 -0.648701
1052 -0.498533 -0.0938066 -0.0771341 -0.669474
1054 -0.492922 -0.107392 -0.0859128 -0.686227
1056 -0.484371 -0.120219 -0.0944466 -0.699036
1058 -0.473083 -0.132195 -0.102729 -0.708007
1060 -0.459278 -0.14324 -0.110743 -0.713261
1062 -0.443189 -0.153288 -0.118471 -0.714948
1064 -0.425053 -0.162285 -0.125895 -0.713233
1066 -0.405117 -0.170194 -0.132995 -0.708306
1068 -0.383629 -0.176991 -0.139753 -0.700374
1070 -0.360835 -0.182659 -0.14615 -0.689644
1072 -0.336975 -0.187191 -0.152164 -0.67633
1074 -0.312285 -0.190588 -0.157772 -0.660646
1076 -0.28699 -0.192853 -0.162953 -0.642796
1078 -0.261309 -0.193985 -0.167685 -0.622979
1080 -0.235441 -0.193989 -0.171948 -0.601378
1082 -0.209571 -0.192869 -0.175723 -0.578163
1084 -0.18386 -0.190624 -0.17899 -0.553474
1086 -0.158447 -0.187255 -0.18173 -0.527432
1088 -0.133449 -0.182766 -0.183929 -0.500144
1090 -0.108958 -0.177164 -0.185572 -0.471695
1092 -0.0850452 -0.170465 -0.186653 -0.442164
1094 -0.0617623 -0.162694 -0.187162 -0.411618
1096 -0.0391429 -0.153884 -0.187094 -0.380121
1098 -0.0172067 -0.144091 -0.186447 -0.347744
1100 0.00403305 -0.133384 -0.185225 -0.314575
1102 0.0245658 -0.121848 -0.183434 -0.280716
1104 0.0443839 -0.109583 -0.181084 -0.246283
1106 0.063478 -0.0967025 -0.178188 -0.211412
1108 0.0818311 -0.0833331 -0.174759 -0.176261
1110 0.0994262 -0.069607 -0.170811 -0.140992
1112 0.116245 -0.0556599 -0.166364 -0.105779
1114 0.132264 -0.0416251 -0.16143 -0.0707914
1116 0.147465 -0.027636 -0.156018 -0.0361889
1118 0.161828 -0.0138168 -0.150135 -0.00212452
1120 0.175329 -0.000277067 -0.143791 0.0312611
1122 0.187958 0.012883 -0.136994 0.0638473
1124 0.199702 0.0255779 -0.129746 0.0955341
1126 0.21055 0.0377377 -0.122053 0.126235
1128 0.220488 0.0493072 -0.113921 0.155874
1130 0.229503 0.0602466 -0.105359 0.184391
1132 0.237587 0.0705258 -0.0963863 0.211726
1134 0.244725 0.0801243 -0.0870322 0.237817
1136 0.250901 0.0890339 -0.0773342 0.262601
1138 0.256098 0.097247 -0.067343 0.286002
1140 0.260296 0.104764 -0.0571214 0.307939
1142 0.263481 0.111587 -0.0467349 0.328333
1144 0.265637 0.117717 -0.0362564 0.347098
1146 0.266758 0.123157 -0.025764 0.364151
1148 0.266839 0.127908 -0.0153343 0.379413
1150 0.26589 0.131972 -0.00503914 0.392822
1152 0.263928 0.135353 0.00505383 0.404335
1154 0.260987 0.138056 0.0148859 0.413928
1156 0.257112 0.140084 0.0244089 0.421605
1158 0.252368 0.141445 0.0335846 0.427398
1160 0.246836 0.142152 0.0423801 0.431368
1162 0.240617 0.142218 0.0507685 0.433603
1164 0.233831 0.141662 0.0587281 0.434221
1166 0.22661 0.140512 0.0662443 0.433366
1168 0.219104 0.138798 0.0733026 0.431205
1170 0.211477 0.136559 0.0798876 0.427924
1172 0.203901 0.133841 0.0859815 0.423723
1174 0.196546 0.130697 0.0915678 0.418811
1176 0.189577 0.127188 0.0966263 0.413391
1178 0.183155 0.123383 0.101137 0.407675
1180 0.177425 0.119353 0.105082 0.40186
1182 0.172513 0.115171 0.108452 0.396136
1184 0.16852 0.11092 0.111238 0.390678
1186 0.165526 0.106683 0.11344 0.385648
1188 0.163572 0.102535 0.115068 0.381175
1190 0.162675 0.0985536 0.116147 0.377376
1192 0.16282 0.0948133 0.116709 0.374342
1194 0.16396 0.0913847 0.116795 0.372139
1196 0.166021 0.088333 0.116452 0.370806
1198 0.168908 0.0857188 0.115735 0.370362
1200 0.172499 0.0836006 0.1147 0.3708
1202 0.176648 0.0820298 0.113404 0.372081
1204 0.181196 0.0810503 0.111901 0.374147
1206 0.185973 0.0806978 0.110236 0.376907
1208 0.190802 0.0809997 0.108445 0.380246
1210 0.195496 0.0819712 0.106559 0.384026
1212 0.199869 0.0836156 0.104599 0.388084
1214 0.203736 0.0859228 0.102573 0.392232
1216 0.206917 0.0888717 0.100479 0.396268
1218 0.209245 0.0924189 0.0983043 0.399968
1220 0.21056 0.0965087 0.0960233 0.403092
1222 0.210718 0.101063 0.0936063 0.405387
1224 0.209591 0.10599 0.091019 0.4066
1226 0.207074 0.111183 0.088224 0.40648
1228 0.203075 0.11652 0.0851859 0.40478
1230 0.197527 0.121867 0.081869 0.401263
1232 0.190385 0.127084 0.0782389 0.395708
1234 0.181623 0.132026 0.0742618 0.387911
1236 0.171238 0.136547 0.069904 0.37769
1238 0.159244 0.140501 0.0651342 0.364879
1240 0.145665 0.143751 0.0599229 0.34934
1242 0.13054 0.146178 0.0542465 0.330965
1244 0.113919 0.14768 0.0480855 0.309684
1246 0.0958638 0.148177 0.0414212 0.285462
1248 0.0764433 0.147618 0.0342394 0.258301
1250 0.0557331 0.14598 0.0265297 0.228243
1252 0.0338181 0.143273 0.0182877 0.195379
1254 0.0107938 0.139542 0.00951203 0.159848
1256 -0.0132336 0.134859 0.000212622 0.121838
1258 -0.0381476 0.129325 -0.00959169 0.0815861
1260 -0.0638159 0.123055 -0.0198713 0.0393679
1262 -0.0900934 0.116178 -0.0305907 -0.0045059
1264 -0.116821 0.108834 -0.0417013 -0.0496882
1266 -0.143821 0.101157 -0.0531413 -0.095805
1268 -0.170904 0.0932744 -0.0648428 -0.142473
1270 -0.19787 0.0852932 -0.0767238 -0.1893
1272 -0.224507 0.0773013 -0.088688 -0.235893
1274 -0.250602 0.0693558 -0.100627 -0.281874
1276 -0.275941 0.0614905 -0.112424 -0.326874
1278 -0.300305 0.0537135 -0.123955 -0.370546
1280 -0.323488 0.0460067 -0.135092 -0.412573
1282 -0.345293 0.0383306 -0.145707 -0.45267
1284 -0.365539 0.030639 -0.155674 -0.490573
1286 -0.38406 0.0228837 -0.164873 -0.526049
1288 -0.400709 0.0150128 -0.173192 -0.558889
1290 -0.415363 0.00698134 -0.180538 -0.58892
1292 -0.42792 -0.00124766 -0.186826 -0.615993
1294 -0.438303 -0.00969485 -0.191987 -0.639985
1296 -0.446465 -0.018361 -0.19597 -0.660796
1298 -0.452375 -0.0272345 -0.198739 -0.678349
1300 -0.456031 -0.0362872 -0.200276 -0.692594
1302 -0.457452 -0.0454744 -0.20058 -0.703506
1304 -0.456678 -0.0547379 -0.199659 -0.711075
1306 -0.453763 -0.0640129 -0.197534 -0.71531
1308 -0.448781 -0.0732299 -0.194244 -0.716255
1310 -0.44182 -0.0823123 -0.189837 -0.71397
1312 -0.432981 -0.0911825 -0.184375 -0.708538
1314 -0.42237 -0.0997654 -0.17793 -0.700065
1316 -0.4101 -0.107989 -0.170589 -0.688677
1318 -0.396288 -0.115785 -0.16245 -0.674523
1320 -0.381059 -0.123097 -0.15362 -0.657775
